File accession,Paired with
ENCFF453RQX,ENCFF978QGM
ENCFF546FGZ,ENCFF787IPG
ENCFF871EUD,ENCFF405TZZ
ENCFF600LTX,ENCFF334RND
ENCFF922KJO,ENCFF371FQO
ENCFF482WXD,ENCFF034SEY
ENCFF878FZV,ENCFF111RLY
ENCFF500MOH,ENCFF118USL
ENCFF440KDH,ENCFF325KMJ
ENCFF931NDN,ENCFF211WQC
ENCFF120WNK,ENCFF756SCH
ENCFF405TZZ,ENCFF871EUD
ENCFF787IPG,ENCFF546FGZ
ENCFF118USL,ENCFF500MOH
ENCFF334RND,ENCFF600LTX
ENCFF371FQO,ENCFF922KJO
ENCFF705SXL,ENCFF276DRS
ENCFF978QGM,ENCFF453RQX
ENCFF111RLY,ENCFF878FZV
ENCFF325KMJ,ENCFF440KDH
ENCFF756SCH,ENCFF120WNK
ENCFF034SEY,ENCFF482WXD
ENCFF276DRS,ENCFF705SXL
ENCFF211WQC,ENCFF931NDN
